Title,Category,Filename,Duration_s,Detected_Period_s,Bernardi_Compliant,Structural_Strength
Bee Gees   Stayin Alive Official Music V,Music,Bee_Gees_-_Stayin_Alive_Official_Music_Video.wav,249.51,9.29,True,1.0
CLAUDE DEBUSSY CLAIR DE LUNE,Music,CLAUDE_DEBUSSY_CLAIR_DE_LUNE.wav,299.99,9.29,True,1.0
EVOHÉ  SHIVOHAM official video,Music,EVOHÉ-_SHIVOHAM_official_video.wav,299.99,10.66,True,1.0
Gregorian Chants The Holy Mass of the Be,Music,Gregorian_Chants_The_Holy_Mass_of_the_Benedictine_Monks_Catholic_Chants_for_Prayer_1_hour.wav,299.99,11.35,True,1.0
Harivarsanam,Music,Harivarsanam.wav,295.93,11.24,True,1.0
La Bouche   Be My Lover Official Video,Music,La_Bouche_-_Be_My_Lover_Official_Video.wav,222.81,10.68,True,1.0
La Traviata Libiamo ne lieti calici,Music,La_Traviata_Libiamo_ne_lieti_calici.wav,188.96,8.71,True,1.0
Luciano Pavarotti   La Donna È Mobile Ri,Music,Luciano_Pavarotti_-_La_Donna_È_Mobile_Rigoletto.wav,170.48,10.33,True,1.0
Luciano Pavarotti e Zucchero in Va pensi,Music,Luciano_Pavarotti_e_Zucchero_in_Va_pensiero_Live.wav,180.0,10.61,True,1.0
Puccini   O mio babbino caro from Gianni,Music,Puccini_-_O_mio_babbino_caro_from_Gianni_Schichi_Callas_Philharmonia_Orchestra_Serafin_HD.wav,179.36,8.64,True,1.0
Sunta Hai Guru Gyaani sings Pt Kumar Gan,Music,Sunta_Hai_Guru_Gyaani_sings_Pt_Kumar_Gandharva.wav,299.99,11.45,True,1.0
The Reverent Calm Of Nuns Singing Gregor,Music,The_Reverent_Calm_Of_Nuns_Singing_Gregorian_Chants.wav,299.99,10.45,True,1.0
The beauty of the Kyrie Eleison taken fr,Music,The_beauty_of_the_Kyrie_Eleison_taken_from_the_Missa_De_Angelis_in_Gregorian_Chant.wav,36.88,10.33,True,1.0
രമകഥ ഗനലയ Raamakadha Gaanalayam Bharatha,Music,രമകഥ_ഗനലയ_Raamakadha_Gaanalayam_Bharatham_Mohanlal_Urvasi_Malayalam_Film_Classical_Song.wav,72.29,9.61,True,1.0
Dekhi Jayegi An Original Ghazal Satish R,Music,Dekhi_Jayegi_An_Original_Ghazal_Satish_Raghunathan_Saveri_Verma_Karthika_Vaidyanathan.wav,244.59,12.91,False,1.0
Experience Serenity Best Gregorian Chant,Music,Experience_Serenity_Best_Gregorian_Chants_Sacred_Music_for_Deep_Prayer_Meditation.wav,299.99,8.45,False,1.0
Gregorian Chants Honor and Praise God   ,Music,Gregorian_Chants_Honor_and_Praise_God_-_Rite_of_Prayer_God_in_the_Monastery.wav,299.99,8.03,False,1.0
Gregorian Chants of the Benedictine Monk,Music,Gregorian_Chants_of_the_Benedictine_Monks_Christian_Music_for_Spiritual_Meditation.wav,299.99,11.61,False,1.0
Luciano Pavarotti sings Nessun dorma fro,Music,Luciano_Pavarotti_sings_Nessun_dorma_from_Turandot_The_Three_Tenors_in_Concert_1994.wav,195.23,12.86,False,1.0
Miles Davis   So What Official Video,Music,Miles_Davis_-_So_What_Official_Video.wav,299.99,12.77,False,1.0
Queen Bohemian Rhapsody Official Video R,Music,Queen_Bohemian_Rhapsody_Official_Video_Remastered.wav,299.99,12.96,False,1.0
Rachid Taha   Rock El Casbah,Music,Rachid_Taha_-_Rock_El_Casbah.wav,275.37,8.01,False,1.0
The Calm Of Benedictine Monks Singing Gr,Music,The_Calm_Of_Benedictine_Monks_Singing_Gregorian_Chants_In_A_Cathedral.wav,299.99,8.45,False,1.0
Whispers of Eldritch Blast original,Music,Whispers_of_Eldritch_Blast_original.wav,299.99,8.5,False,1.0
